"S. No.","NETC Plaza Code","Fee Plaza Name","State","District","Section of Highway","National Highway","PIU","NHAI Regional Office"
"741","356107","Halliqudi Fee Plaza","Karnataka","Gadag","Hubli to Hospiet section","63","Dharwad","Bangalore"
"742","356108","Jajirakallu Toll Plaza","Karnataka","Anantapur","Bellary Byrapura section (HAM)","150A","Hospet","Bangalore"
"743","356109","Rajatadripura Toll Plaza","Karnataka","Tumkur","Tumkur Shimoqga section","206","Tumkur","Bangalore"
"744","356110","Sheshagirihalli Toll Plaza","Karnataka","Bengaluru South","Bangalore Mysore section","275","Mysuru","Bangalore"
"745","356111","Kaniminike Toil Plaza","Karnataka","Bengaluru Urban","Bangalore-Mysore section","275","Mysuru","Bangalore"
"746","356112","Ganebail Toll Plaza","Karnataka","Belagavi","Belgaum Khanapur Section (Km.0.000 to Km. 30.000)","748 (Old NH-4A)","Dharwad","Bangalore"
"747","360020","Pollachi Cochin Toll Plaza","Tamil Nadu","Coimbatore","Coimbatore Bypass","544(Old NH-47)","Coimbatore","Chennai"
"748","360021","Pollachi Salem Toll Plaza","Tamil Nadu","Coimbatore","Coimbatore Bypass","544(Old NH-47)","Coimbatore","Chennai"
"749","360024","Neelambur","Tamil Nadu","Coimbatore","Coimbatore Bypass","544(Old NH-47)","Coimbatore","Chennai"
"750","360025","Trichy Salem","Tamil Nadu","Coimbatore","Coimbatore Bypass","544(Old NH-47)","Coimbatore","Chennai"
"751","360026","Trichy Cochin","Tamil Nadu","Coimbatore","Coimbatore Bypass","544(Old NH-47)","Coimbatore","Chennai"
"752","360027","Madukkaral","Tamil Nadu","Coimbatore","Coimbatore Bypass","544(Old NH-47)","Coimbatore","Chennai"
"753","360028","Surapattu Toll Plaza","Tamil Nadu","Tiruvallur","Chennai Bypass","32","Chennai-2","Chennai"
"754","360029","Pattarai Toll Plaza","Tamil Nadu","Tiruvallur","Tirupati Tirutham Chennal","716 (NH-205)","Chennai-2","Chennai"
"755","360030","Athur","Tamil Nadu","Chengalpattu","Tambaram-Tindivanam","32 (NH-45)","Chengalpattu","Chennai"
"756","360031","Sri Perumbadur","Tamil Nadu","Kancheepuram","Walajhapet Poonamalai","48 (NH-4)","Kancheepuram","Chennai"
"757","360032","Nallur Toll Plaza","Tamil Nadu","Tiruvallur","Chennai-Tada","16(5)","Chennai","Chennai"
"758","360033","Chennasamaduram","Tamil Nadu","Ranipet","Poonamalle Walajahpet","48 (NH4)","Kancheepuram","Chennai"
"759","360034","Vanagaram Toll Plaza","Tamil Nadu","Tiruvallur","Chennai Bypass","32","Chennai","Chennai"
"760","360036","VAGAIKULAM TOLL PLAZA","Tamil Nadu","Thoothukudi (Tuticorin)","Tirunelveli Tuticorin","7Amew 138","Tuticorin","Madurai"
"761","360037","Kappalur","Tamil Nadu","Madurai","Madurai Kannyakumari (Km 0.000 Km 243.170)","7","Madurai","Madurai"
"762","360038","Salaipudur","Tamil Nadu","Tirunelveli","Madurai Kannyakumari (Km 0.000 Km 243.170)","7","Nagercoil","Madurai"
"763","360039","Nangunen","Tamil Nadu","Tirunelveli","Madurai Kannyakumari (Km 0.000 Km 243.170)","7","Nagercoil","Madurai"
"764","360040","Etturvattam","Tamil Nadu","Madurai","Madurai Kannyakumari (Km 0.000 Km 243.170)","7","Madurai","Madurai"
"765","360041","DC Paili","Andhra Pradesh","Nellore","Dornala Atmakur (AP)","67","Nellore","Vijayawada"
"766","360042","Mathur Toll Plaza","Tamil Nadu","Chennai","Chennai -Ennore Port road","State Road","Chennai","Chennai"
"767","360043","Chittampatti","Tamil Nadu","Madurai","(Trichy Tovrankurichi - Madurai) OMT-16","45B","Trichy","Madurai"
"768","360044","Buchireddypalem","Andhra Pradesh","Nellore","Atmakkur Nellore (AP)","67","Nellore","Vijayawada"
"769","360045","Boothakudi","Tamil Nadu","Tirunelveli","(Trichy Tostankurichi - Madurai) OMT-16","45B","Trichy","Madurai"
